[2022-08-20T07:11:52.368] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-20T07:11:57.516] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-20T07:12:19.952] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-20T07:24:33.727] [WARN] warnArchive - Estado: 404, Ruta consultada: /carousel.css, Metodo GET
[2022-08-20T07:30:13.901] [WARN] warnArchive - Estado: 404, Ruta consultada: /errorAccesoDenegado, Metodo GET
[2022-08-20T07:32:04.204] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-20T07:34:54.596] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-20T08:30:09.250] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-20T08:41:47.688] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-21T07:05:41.780] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-21T07:05:50.308] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-21T07:52:51.979] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-21T08:05:42.377] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-08-21T08:06:29.922] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-08-21T08:06:32.844] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-21T08:54:11.628] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-21T10:20:53.572] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-21T10:20:57.485] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-08-21T10:20:59.956] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-21T10:21:18.879] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-21T10:21:23.342] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-08-21T10:21:29.887] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-08-21T10:43:40.415] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-08-21T11:02:22.602] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-08-21T11:02:22.937] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-21T11:03:08.505] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-21T11:03:11.237] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-21T11:03:11.371] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-21T11:03:11.483] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-21T11:03:11.590] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-22T06:30:09.550] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-08-22T06:40:20.199] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-08-22T06:40:23.908] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-08-22T06:40:29.517] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-08-28T17:19:28.650] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-08-28T17:19:28.673] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2022-08-28T17:19:30.476] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-08-28T17:19:31.170] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-08-28T17:19:31.174] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2022-09-06T18:36:24.474] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-09-13T21:59:41.035] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/productos, Metodo GET
[2022-09-13T21:59:41.503] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-09-13T21:59:51.462] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-09-13T21:59:52.297] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-09-13T21:59:52.303] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2022-09-17T07:37:19.433] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2022-09-17T07:37:25.795] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-09-17T07:37:25.805] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2022-09-17T07:37:26.199] [WARN] warnArchive - Estado: 404, Ruta consultada: /api/formProductos.js, Metodo GET
[2022-09-17T08:09:21.501] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-09-17T08:09:21.514] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2022-09-17T08:15:05.364] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-09-17T08:15:05.625] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2022-09-17T08:15:39.533] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-09-17T08:15:39.806] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2022-09-17T08:15:49.845] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-09-17T08:15:50.104] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
[2022-09-17T08:16:56.068] [WARN] warnArchive - Estado: 404, Ruta consultada: /123, Metodo GET
[2022-09-17T08:16:56.072] [WARN] warnArchive - Estado: 404, Ruta consultada: /12321, Metodo GET
